Country,Code,Year,Population
Fiji,FJI,1800,130533
Fiji,FJI,1900,120000
Fiji,FJI,2000,833000
Finland,FIN,1500,300000
Finland,FIN,1600,400000
Finland,FIN,1700,400000
Finland,FIN,1800,800000
Finland,FIN,1900,2646000
Finland,FIN,2000,5168595
France,FRA,1500,15000000
France,FRA,1600,18500000
France,FRA,1700,21471000
France,FRA,1800,29000000
France,FRA,1900,40598000
France,FRA,2000,61137000
Gabon,GAB,1800,158227
Gabon,GAB,1900,366539.1722
Gabon,GAB,2000,1236000
Gambia,GMB,1800,103274
Gambia,GMB,1900,162014.9403
Gambia,GMB,2000,1367884
Georgia,GEO,1800,1072178
Georgia,GEO,2000,4777209
Germany,DEU,1500,12000000
Germany,DEU,1600,16000000
Germany,DEU,1700,15000000
Germany,DEU,1800,18000000
Germany,DEU,1900,54388000
Germany,DEU,2000,82187909
Ghana,GHA,1800,2016034
Ghana,GHA,1900,2799906.606
Ghana,GHA,2000,19736000
Greece,GRC,1500,1000000
Greece,GRC,1600,1500000
Greece,GRC,1700,1500000
Greece,GRC,1800,2250000
Greece,GRC,1900,4962000
Greece,GRC,2000,10559110
Grenada,GRD,1800,29409
Grenada,GRD,1900,63000
Grenada,GRD,2000,89312
Guatemala,GTM,1900,1300000
Guatemala,GTM,2000,11085000
Guinea,GIN,1800,983959
Guinea,GIN,1900,1387294.334
Guinea,GIN,2000,8350000
Guinea-Bissau,GNB,1800,218167
Guinea-Bissau,GNB,1900,278290.9689
Guinea-Bissau,GNB,2000,1279000
Guyana,GUY,1800,166034
Guyana,GUY,1900,306000
Guyana,GUY,2000,755171
Haiti,HTI,1700,50000
Haiti,HTI,1800,500000
Haiti,HTI,1900,1560000
Haiti,HTI,2000,7639000
Honduras,HND,1800,130000
Honduras,HND,1900,500000
Honduras,HND,2000,6347658
Hungary,HUN,1500,1250000
Hungary,HUN,1600,1250000
Hungary,HUN,1700,1500000
Hungary,HUN,1800,3250000
Hungary,HUN,1900,7127000
Hungary,HUN,2000,10137449
Iceland,ISL,1800,61428
Iceland,ISL,1900,78000
Iceland,ISL,2000,281043
India,IND,1500,110000000
India,IND,1600,135000000
India,IND,1700,165000000
India,IND,1900,284500000
India,IND,2000,1004124000
Iran,IRN,1500,4000000
Iran,IRN,1600,5000000
Iran,IRN,1700,5000000
Iran,IRN,1800,6000000
Iran,IRN,1900,10000000
Iran,IRN,2000,63273000
Iraq,IRQ,1500,1000000
Iraq,IRQ,1600,1250000
Iraq,IRQ,1700,1000000
Iraq,IRQ,1800,1000000
Iraq,IRQ,1900,2250000
Iraq,IRQ,2000,22675617
Ireland,IRL,1500,800000
Ireland,IRL,1600,1000000
Ireland,IRL,1700,1925000
Ireland,IRL,1800,5250000
Ireland,IRL,1900,4469000
Ireland,IRL,2000,3791690
Israel,ISR,1800,209954
Israel,ISR,1900,362220
Israel,ISR,2000,6115000
Italy,ITA,1500,10500000
Italy,ITA,1600,13100000
Italy,ITA,1700,13300000
Italy,ITA,1800,19000000
Italy,ITA,1900,33672000
Italy,ITA,2000,57719337
Jamaica,JAM,1700,50000
Jamaica,JAM,1800,300000
Jamaica,JAM,1900,720000
Jamaica,JAM,2000,2615467
Japan,JPN,1500,15400000
Japan,JPN,1600,18500000
Japan,JPN,1700,27000000
Japan,JPN,1800,28000000
Japan,JPN,1900,44103000
Japan,JPN,2000,126179000
Jordan,JOR,1500,200000
Jordan,JOR,1600,200000
Jordan,JOR,1700,200000
Jordan,JOR,1800,200000
Jordan,JOR,1900,300000
Jordan,JOR,2000,4998564
Kazakhstan,KAZ,1800,2041282
Kazakhstan,KAZ,2000,15032140
Kenya,KEN,1500,1500000
Kenya,KEN,1700,2000000
Kenya,KEN,1800,2574000
Kenya,KEN,1900,4132379.922
Kenya,KEN,2000,30508000
Kiribati,KIR,1800,17876
Kiribati,KIR,2000,91985
Kuwait,KWT,1800,81280
Kuwait,KWT,2000,1973572
Kyrgyzstan,KGZ,1800,530343
Kyrgyzstan,KGZ,2000,4851054
Laos,LAO,1500,400000
Laos,LAO,1800,470000
Laos,LAO,1900,1500000
Laos,LAO,2000,5497733
Latvia,LVA,1800,590588
Latvia,LVA,2000,2376178
Lebanon,LBN,1500,250000
Lebanon,LBN,1600,300000
Lebanon,LBN,1700,300000
Lebanon,LBN,1800,300000
Lebanon,LBN,1900,500000
Lebanon,LBN,2000,3581000
Lesotho,LSO,1800,276361
Lesotho,LSO,1900,294014.1749
Lesotho,LSO,2000,2068000
Liberia,LBR,1800,313543
Liberia,LBR,1900,454082.6899
Liberia,LBR,2000,2695000
Libya,LBY,1900,479592.3136
Libya,LBY,2000,5115450
Liechtenstein,LIE,1800,5802
Liechtenstein,LIE,2000,32204
Lithuania,LTU,1800,778655
Lithuania,LTU,2000,3654387
Luxembourg,LUX,1800,127030
Luxembourg,LUX,1900,236000
Luxembourg,LUX,2000,438777
Madagascar,MDG,1500,700000
Madagascar,MDG,1600,800000
Madagascar,MDG,1700,1000000
Madagascar,MDG,1800,1500000
Madagascar,MDG,1900,2820553.255
Madagascar,MDG,2000,15742000
Malawi,MWI,1800,737000
Malawi,MWI,1900,2038521.987
Malawi,MWI,2000,11560000
Malaysia,MYS,1800,287000
Malaysia,MYS,1900,2232000
Malaysia,MYS,2000,21804000
Maldives,MDV,1800,42378
Maldives,MDV,2000,300000
Mali,MLI,1800,1403398
Mali,MLI,1900,1780382.781
Mali,MLI,2000,10049000
Malta,MLT,1800,134072
Malta,MLT,2000,389947
Marshall Islands,MHL,1800,5828
Marshall Islands,MHL,2000,53064
Mauritania,MRT,1800,382696
Mauritania,MRT,1900,373849.5588
Mauritania,MRT,2000,2501000
Mauritius,MUS,1800,59000
Mauritius,MUS,1900,371000
Mauritius,MUS,2000,1186000
Mexico,MEX,1500,7000000
Mexico,MEX,1600,2979000
Mexico,MEX,1700,2825000
Mexico,MEX,1800,5100000
Mexico,MEX,1900,13607000
Mexico,MEX,2000,99926620
Micronesia (country),FSM,1800,16416
Micronesia (country),FSM,2000,107754
Moldova,MDA,1800,712558
Moldova,MDA,2000,4430654
Monaco,MCO,1800,7789
Monaco,MCO,2000,31693
Mongolia,MNG,1500,600000
Mongolia,MNG,1800,600000
Mongolia,MNG,1900,700000
Mongolia,MNG,2000,2664000
Montenegro,MNE,1800,126582
Montenegro,MNE,2000,732302
Morocco,MAR,1500,1500000
Morocco,MAR,1600,2250000
Morocco,MAR,1700,1750000
Morocco,MAR,1800,2500000
Morocco,MAR,1900,4689745.641
Morocco,MAR,2000,30184000
Mozambique,MOZ,1500,1000000
Mozambique,MOZ,1600,1250000
Mozambique,MOZ,1700,1500000
Mozambique,MOZ,1800,2000000
Mozambique,MOZ,1900,4475121.821
Mozambique,MOZ,2000,18125000
Myanmar,MMR,1500,4000000
Myanmar,MMR,1600,4500000
Myanmar,MMR,1700,5000000
Myanmar,MMR,1800,6000000
Myanmar,MMR,1900,10174000
Myanmar,MMR,2000,44301000
Namibia,NAM,1800,229000
Namibia,NAM,1900,194273.6715
Namibia,NAM,2000,1893000
Nauru,NRU,1800,1834
Nauru,NRU,2000,11845
Nepal,NPL,1500,2000000
Nepal,NPL,1600,2500000
Nepal,NPL,1700,3000000
Nepal,NPL,1800,4000000
Nepal,NPL,1900,5283000
Nepal,NPL,2000,24818000
Netherlands,NLD,1500,950000
Netherlands,NLD,1600,1500000
Netherlands,NLD,1700,1900000
Netherlands,NLD,1800,2000000
Netherlands,NLD,1900,5142000
Netherlands,NLD,2000,15907853
New Zealand,NZL,1500,100000
New Zealand,NZL,1600,100000
New Zealand,NZL,1700,100000
New Zealand,NZL,1800,200000
New Zealand,NZL,1900,807000
New Zealand,NZL,2000,3802000
Nicaragua,NIC,1500,12000
Nicaragua,NIC,1600,50000
Nicaragua,NIC,1700,93000
Nicaragua,NIC,1800,186000
Nicaragua,NIC,1900,478000
Nicaragua,NIC,2000,4935000
Niger,NER,1900,1180860.673
Niger,NER,2000,10951000
Nigeria,NGA,1800,12100855
Nigeria,NGA,1900,17429161.72
Nigeria,NGA,2000,123179000
North Korea,PRK,1800,4345000
North Korea,PRK,2000,21263000
North Macedonia,MKD,1800,391865
North Macedonia,MKD,2000,2014512
Norway,NOR,1500,300000
Norway,NOR,1600,400000
Norway,NOR,1700,500000
Norway,NOR,1800,900000
Norway,NOR,1900,2230000
Norway,NOR,2000,4492400
Oman,OMN,1500,200000
Oman,OMN,1800,300000
Oman,OMN,1900,400000
Oman,OMN,2000,2534000
Pakistan,PAK,1600,8817631
Pakistan,PAK,1700,10777105
Pakistan,PAK,2000,146405000
Palau,PLW,1800,3875
Palau,PLW,2000,18766
Panama,PAN,1500,29600
Panama,PAN,1600,20000
Panama,PAN,1700,34200
Panama,PAN,1800,75600
Panama,PAN,1900,263000
Panama,PAN,2000,2900000
Papua New Guinea,PNG,1800,754894
Papua New Guinea,PNG,2000,4934000
Paraguay,PRY,1500,200000
Paraguay,PRY,1600,200000
Paraguay,PRY,1700,200000
Paraguay,PRY,1800,300000
Paraguay,PRY,1900,440000
Paraguay,PRY,2000,5592000
Peru,PER,1500,2500000
Peru,PER,1600,920000
Peru,PER,1700,654000
Peru,PER,1800,1271000
Peru,PER,1900,3648000
Peru,PER,2000,26087000
Philippines,PHL,1500,500000
Philippines,PHL,1600,800000
Philippines,PHL,1700,1250000
Philippines,PHL,1800,2500000
Philippines,PHL,1900,7324000
Philippines,PHL,2000,81222000
Poland,POL,1500,4000000
Poland,POL,1600,5000000
Poland,POL,1700,6000000
Poland,POL,1800,9000000
Poland,POL,1900,24750000
Poland,POL,2000,38654164
Portugal,PRT,1500,1000000
Portugal,PRT,1600,1100000
Portugal,PRT,1700,2000000
Portugal,PRT,1800,2750000
Portugal,PRT,1900,5404000
Portugal,PRT,2000,10335597
Qatar,QAT,1800,14092
Qatar,QAT,2000,627000
Romania,ROU,1500,2000000
Romania,ROU,1600,2000000
Romania,ROU,1700,2500000
Romania,ROU,1800,5500000
Romania,ROU,1900,11000000
Romania,ROU,2000,22451921
Russia,RUS,2000,146710000
Rwanda,RWA,1800,928368
Rwanda,RWA,1900,1529775.958
Rwanda,RWA,2000,8278000
Saint Kitts and Nevis,KNA,1900,46000
Saint Kitts and Nevis,KNA,2000,38819
Saint Lucia,LCA,1900,50000
Saint Lucia,LCA,2000,153000
Saint Vincent and the Grenadines,VCT,1900,48000
Saint Vincent and the Grenadines,VCT,2000,108000
Samoa,WSM,1700,43000
Samoa,WSM,1800,47300
Samoa,WSM,1900,33000
Samoa,WSM,2000,197000
San Marino,SMR,1800,5492
San Marino,SMR,2000,26937
Sao Tome and Principe,STP,1800,22731
Sao Tome and Principe,STP,1900,40000
Sao Tome and Principe,STP,2000,159883
Saudi Arabia,SAU,1500,2000000
Saudi Arabia,SAU,1600,2250000
Saudi Arabia,SAU,1700,2000000
Saudi Arabia,SAU,1800,2000000
Saudi Arabia,SAU,1900,2500000
Saudi Arabia,SAU,2000,23147000
Senegal,SEN,1800,1009886
Senegal,SEN,1900,1401374.127
Senegal,SEN,2000,10678000
Serbia,SRB,1800,2147197
Serbia,SRB,1900,2494000
Serbia,SRB,2000,10117908
Seychelles,SYC,1800,12522
Seychelles,SYC,1900,19000
Seychelles,SYC,2000,79326
Sierra Leone,SLE,1800,794264
Sierra Leone,SLE,1900,1071282.463
Sierra Leone,SLE,2000,4816000
Singapore,SGP,1800,30000
Singapore,SGP,1900,215000
Singapore,SGP,2000,4036753
Slovakia,SVK,1800,2140651
Slovakia,SVK,2000,5400320
Slovenia,SVN,1800,469664
Slovenia,SVN,2000,2010557
Solomon Islands,SLB,1800,56998
Solomon Islands,SLB,2000,466194
Somalia,SOM,1500,800000
Somalia,SOM,1600,800000
Somalia,SOM,1700,950000
Somalia,SOM,1900,1551352.163
Somalia,SOM,2000,7386000
South Africa,ZAF,1500,600000
South Africa,ZAF,1600,700000
South Africa,ZAF,1700,1000000
South Africa,ZAF,1900,4971084.352
South Africa,ZAF,2000,45064000
South Korea,KOR,1800,9395000
South Korea,KOR,1900,9896000
South Korea,KOR,2000,46839000
Spain,ESP,1500,6800000
Spain,ESP,1600,8240000
Spain,ESP,1700,8770000
Spain,ESP,1800,11500000
Spain,ESP,1900,18566000
Spain,ESP,2000,40016081
Sri Lanka,LKA,1500,1000000
Sri Lanka,LKA,1600,1250000
Sri Lanka,LKA,1700,1500000
Sri Lanka,LKA,1800,1750000
Sri Lanka,LKA,1900,3912000
Sri Lanka,LKA,2000,19436000
Suriname,SUR,1800,80721
Suriname,SUR,2000,432000
Sweden,SWE,1500,550000
Sweden,SWE,1600,760000
Sweden,SWE,1700,1260000
Sweden,SWE,1800,2500000
Sweden,SWE,1900,5117000
Sweden,SWE,2000,8872000
Switzerland,CHE,1500,650000
Switzerland,CHE,1600,1000000
Switzerland,CHE,1700,1200000
Switzerland,CHE,1800,1750000
Switzerland,CHE,1900,3300000
Switzerland,CHE,2000,7266920
Syria,SYR,1500,1250000
Syria,SYR,1600,1400000
Syria,SYR,1700,1250000
Syria,SYR,1800,1250000
Syria,SYR,1900,1750000
Syria,SYR,2000,16305659
Tajikistan,TJK,1800,466629
Tajikistan,TJK,2000,6230000
Tanzania,TZA,1500,1750000
Tanzania,TZA,1700,2500000
Tanzania,TZA,1800,3000000
Tanzania,TZA,1900,4995170.291
Tanzania,TZA,2000,33712000
Thailand,THA,1500,2000000
Thailand,THA,1600,2250000
Thailand,THA,1700,2500000
Thailand,THA,1800,3000000
Thailand,THA,1900,7320000
Thailand,THA,2000,61862928
Timor,TLS,1800,137262
Timor,TLS,1900,348000
Timor,TLS,2000,846599
Togo,TGO,1800,445985
Togo,TGO,1900,717971.4945
Togo,TGO,2000,4711655
Tonga,TON,1700,16962
Tonga,TON,1800,18658
Tonga,TON,1900,20000
Tonga,TON,2000,102321
Trinidad and Tobago,TTO,1800,20000
Trinidad and Tobago,TTO,1900,268000
Trinidad and Tobago,TTO,2000,1252000
Tunisia,TUN,1500,800000
Tunisia,TUN,1600,1000000
Tunisia,TUN,1700,800000
Tunisia,TUN,1800,800000
Tunisia,TUN,1900,1832637.486
Tunisia,TUN,2000,9568000
Turkey,TUR,1500,6300000
Turkey,TUR,1600,7900000
Turkey,TUR,1700,8400000
Turkey,TUR,2000,67329000
Turkmenistan,TKM,1800,367215
Turkmenistan,TKM,2000,4385000
Tuvalu,TUV,1800,2499
Tuvalu,TUV,2000,10838
Uganda,UGA,1500,1500000
Uganda,UGA,1700,2000000
Uganda,UGA,1800,2500000
Uganda,UGA,1900,3507456.909
Uganda,UGA,2000,23956000
Ukraine,UKR,1800,11215490
Ukraine,UKR,2000,49007559
United Arab Emirates,ARE,1800,40153
United Arab Emirates,ARE,2000,3219000
United Kingdom,GBR,1500,3942000
United Kingdom,GBR,1600,6170000
United Kingdom,GBR,1700,8565000
United Kingdom,GBR,1800,10750000
United Kingdom,GBR,1900,41155000
United Kingdom,GBR,2000,59522468
United States,USA,1500,2000000
United States,USA,1600,1500000
United States,USA,1700,1000000
United States,USA,1800,6000000
United States,USA,1900,76391000
United States,USA,2000,282158000
Uruguay,URY,1800,55000
Uruguay,URY,1900,915000
Uruguay,URY,2000,3328000
Uzbekistan,UZB,1800,1919159
Uzbekistan,UZB,2000,25042000
Vanuatu,VUT,1800,27791
Vanuatu,VUT,2000,189618
Venezuela,VEN,1500,400000
Venezuela,VEN,1600,400000
Venezuela,VEN,1700,500000
Venezuela,VEN,1800,1000000
Venezuela,VEN,1900,2542000
Venezuela,VEN,2000,23493000
Vietnam,VNM,1500,2000000
Vietnam,VNM,1700,3000000
Vietnam,VNM,1800,4000000
Vietnam,VNM,1900,11500000
Vietnam,VNM,2000,79060410
Yemen,YEM,1500,2250000
Yemen,YEM,1600,2500000
Yemen,YEM,1700,2250000
Yemen,YEM,1800,2593000
Yemen,YEM,1900,3000000
Yemen,YEM,2000,17495000
Zambia,ZMB,1800,747000
Zambia,ZMB,1900,1673332.866
Zambia,ZMB,2000,10205000
Zimbabwe,ZWE,1800,1085814
Zimbabwe,ZWE,1900,1100350.053
Zimbabwe,ZWE,2000,11820000
